exercice;loi;typeBudget;ministere;mission;programme;action;sous-action;categorie;titre;ae;cp
2023.0;PLF;CCF;7.0;ZC;833.0;833-04;;71.0;7.0;520865613.0;520865613.0
2023.0;PLF;BG;38.0;RA;150.0;150-17;;64.0;6.0;521128.0;521128.0
2023.0;PLF;BG;6.0;EC;139.0;139-05;;22.0;2.0;228735349.0;228735349.0
2023.0;PLF;BG;38.0;RA;172.0;172-15;;32.0;3.0;1209899500.0;1209899500.0
2023.0;PLF;BG;1.0;AA;151.0;151-01;;21.0;2.0;157493862.0;157493862.0
2023.0;PLF;BG;70.0;DA;178.0;;178-05-89;51.0;5.0;148216012.0;129065528.0
2023.0;PLF;BG;23.0;TA;217.0;217-22;;21.0;2.0;11451946.0;11451946.0
2023.0;PLF;BG;36.0;TB;155.0;155-15;;21.0;2.0;58295708.0;58295708.0
2023.0;PLF;BG;9.0;SB;161.0;161-11;;22.0;2.0;5022460.0;5022460.0
2023.0;PLF;BG;9.0;SB;152.0;;152-04-01;23.0;2.0;1652269.0;1652269.0
2023.0;PLF;BG;7.0;GA;302.0;302-05;;31.0;3.0;1689521.0;2051291.0
2023.0;PLF;BG;23.0;VA;147.0;147-01;;61.0;6.0;350000.0;350000.0
2023.0;PLF;BG;70.0;DA;212.0;;212-59-02;21.0;2.0;100000000.0;100000000.0
2023.0;PLF;BG;12.0;TA;205.0;205-01;;51.0;5.0;7769894.0;5377743.0
2023.0;PLF;BG;42.0;SF;219.0;219-02;;72.0;7.0;3700000.0;5372000.0
2023.0;PLF;BG;12.0;DC;308.0;308-05;;21.0;2.0;3048840.0;3048840.0
2023.0;PLF;BG;70.0;DA;178.0;;178-02-08;51.0;5.0;157067251.0;146975997.0
2023.0;PLF;BG;70.0;DA;146.0;;146-10-79;51.0;5.0;93074141.0;63509748.0
2023.0;PLF;BG;6.0;EC;141.0;141-06;;64.0;6.0;2797227.0;2797227.0
2023.0;PLF;BG;9.0;AB;216.0;216-05;;31.0;3.0;160086724.0;138742352.0
2023.0;PLF;CAS;43.0;YK;793.0;793-08;;31.0;3.0;300000.0;300000.0
2023.0;PLF;BG;7.0;AD;110.0;110-02;;63.0;6.0;0.0;2839533.0
2023.0;PLF;BG;70.0;DA;146.0;;146-07-67;51.0;5.0;0.0;11090528.0
2023.0;PLF;BG;6.0;EC;139.0;139-02;;23.0;2.0;11063976.0;11063976.0
2023.0;PLF;BG;23.0;TA;217.0;217-07;;64.0;6.0;7810761.0;7810761.0
2023.0;PLF;BG;70.0;DA;212.0;;212-50-01;22.0;2.0;172085844.0;172085844.0
2023.0;PLF;BG;7.0;DB;220.0;220-08;;21.0;2.0;75009203.0;75009203.0
