Nomenclature;Année;Type de ligne;Type de budget;Périmètre financier Chorus;Ministère;Programme;Code (programme, action ou sous-action);Libellé Chorus abrégé;Libellé complet;Mission;Type de dépenses;Code article d'éxécution;Section CAS/CCF;Compte CAS/CCF;Id Histo Tango;Code section Chorus
Dépenses_CCF;2023.0;Action apparaissant au PAP/RAP;CCF;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P851;0851-01;Prêts à des États étrange;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;MZE Prêts à des États étrangers;Hors Personnel;10.0;1 Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;860.0;1ACT1258;860-S01
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P361;0361-01-07;Ens sup form° pro SV CPER;Enseignement supérieur, insertion et formation professionnelle en matière de spectacle vivant (CPER);MCB Culture;Hors Personnel;16.0;;;1NEX694;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN36 Travail, plein emploi et insertion;P111;0111-06;Réforme des SST;Renforcement de la prévention en santé au travail;MTB Travail et emploi;Hors Personnel;;;;1L7I33BOGHA;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN42 Sports et jeux olympiques et paralympiques;P350;0350-04;Héritage des jeux olympiq;Héritage des jeux olympiques et paralympiques;MSF Sport, jeunesse et vie associative;Hors Personnel;40.0;;;1ACT5524;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P305;305.0;Stratégies économiques;Stratégies économiques;MDB Économie;Mixte;;;;1PGM511;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN01 Europe et affaires étrangères;P151;0151-03-01;Fourniture services admin;Fourniture des services administratifs;MAA Action extérieure de l'État;Hors Personnel;40.0;;;1NEX807;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P143;0143-01-04;Personnel permanent - Per;Personnel permanent - Personnels titulaires et stagiaires de l'enseignement agricole public;MEC Enseignement scolaire;Personnel;13.0;;;1NEX264;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P156;0156-02-02;Remises ventes timbres;Remises sur les ventes de timbres;MGA Gestion des finances publiques;Hors Personnel;21.0;;;1NEX4943;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P421;0421-05;Constitution d'écoles uni;Constitution d'écoles universitaires de recherche;MAV Investir pour la France de 2030;Hors Personnel;5.0;;;1ACT5235;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P110;0110-01-36;Environnement Climat;Environnement Climat;MAD Aide publique au développement;Hors Personnel;;;;1NEX9156;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P122;0122-04;Dotations Outre-Mer;Dotations Outre-Mer;MRC Relations avec les collectivités territoriales;Hors Personnel;;;;1ACT2689;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P159;0159-12;Information géographique;Information géographique et cartographique;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;1ACT5212;
