Une dépense fiscale dont la fin du fait générateur est antérieure à l'année du projet de loi de finances est sur une ligne grisée,;empty;empty;empty;empty;empty;empty;empty;empty;empty;empty;$@Entete
Droits d'enregistrement et de timbre;Mutations à titre gratuit;Abattements;520209.0;Abattement de 300 000 € sur la valeur du fonds ou de la clientèle d’une entreprise individuelle ou de parts ou actions de société pour la liquidation des droits de mutation à titre gratuit en cas de donations aux salariés;Finalité : Favoriser la transmission d'entreprises;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre onéreux - Taxe de publicité foncière;Mutations de biens meubles;530213.0;Exonération des cessions de droits sociaux résultant des opérations de pension portant sur des titres financiers;Finalité : Aider les formes particulières de transmission de titres financiers;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210305.0;Crédit d'impôt pour investissement en Corse;Finalité : Aider certains espaces géographiques (Corse);;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120101.0;Exonération du salaire différé de l'héritier d'un exploitant agricole ayant cessé de participer directement et gratuitement à l'exploitation avant le 1er juillet 2014;Finalité : Aider le secteur agricole;;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320113.0;Déduction des investissements productifs réalisés dans les départements et collectivités d'outre-mer et des souscriptions au capital de sociétés qui réalisent de tels investissements;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Impôt sur le revenu;Calcul de l'impôt;Dispositions diverses;110308.0;Décharge de paiement d'impôt sur le revenu en cas de décès du fait d'actes de terrorisme, de la participation à une opération extérieure ou de sécurité intérieure ou dans des circonstances ayant entraîné une citation à l'ordre de la Nation;Finalité : Aider les personnes victimes d’actes terroristes;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux réduit;730228.0;Taux de 5,5 % applicable aux importations d’œuvres d’art, d’objets de collection, y compris en provenance d’autre État-membre de l’Union européenne et pour les livraisons d’œuvres d’art effectuées par leur auteur ou ses ayants droits – taux de 10 % applicable aux livraisons d’œuvres d’art effectuées à titre occasionnel par les personnes qui les ont utilisées pour les besoins de leurs exploitations et chez qui elles ont ouvert droit à déduction de la TVA;Finalité : Aider l'acquisition d’œuvres par les institutions culturelles;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120144.0;Exonération de l’impôt sur le revenu des indemnités versées aux militaires au titre de leur participation aux opérations visant à la défense de la souveraineté de la France et à la préservation de l'intégrité de son territoire, engagées ou renforcées à la suite des attentats commis sur le territoire national en 2015;Finalité : Aider les militaires;;;;;;
Taxe sur la valeur ajoutée;Exonérations;Autres exonérations;720201.0;Exonération de la partie du trajet effectué à l'intérieur de l'espace maritime national pour les transports aériens ou maritimes de personnes et de marchandises en provenance ou à destination de la Corse;Finalité : Aider certains espaces géographiques (Corse);;;;;;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90104.0;Réduction de 25 % des bases imposées en Corse au profit des communes et des EPCI. Suppression des parts départementales et régionales.;Finalité : Aider certains espaces géographiques (Corse);;;;;;
