Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege
ACT;BG;181-10;;;Prévention des risques naturels et hydrauliques;Prev-risq-nat-hydraulique
SSA;BG;181-10-04;;;Connaissance et culture du risque dans le domaine des inondations;Connaissance-inond
SSA;BG;181-10-05;;;Surveillance et prévision des inondations (hydrologie, prévision des inondations et radars météorologiques) - mission RDI;Surv-Prev-Inondation-RDI
SSA;BG;181-10-06;;;Sécurité des ouvrages hydrauliques;Sécurité-ouvrages-hydraul
SSA;BG;181-10-11;;;"Support et contentieux concourant à l'action ""Prévention des risques naturels et hydrauliques""";Support-Contentieux-act10
SSA;BG;181-10-12;;;Connaissance, culture du risque et surveillance dans le domaine des risques naturels (multirisques ou terrestres);Conn-cult-risq-surveil-RN
SSA;BG;181-10-16;;;Travaux de prévention des risques naturels (multirisques ou terrestres);Travaux de prévention-RN
SSA;BG;181-10-18;;;Travaux de prévention des risques hydrauliques;Trav prévention risq hydr
SSA;BG;181-10-20;;;Soutien aux Programmes d'actions de prévention des inondations (animation);Soutien PAPI (animation)
ACT;BG;181-11;;;Gestion de l'après-mine et travaux de mise en sécurité, indemnisations et expropriations sur les sites;Gestion-apres-mines
SSA;BG;181-11-01;;;GEODERIS;GEODERIS
SSA;BG;181-11-02;;;BRGM;BRGM
SSA;BG;181-11-03;;;Plans de prévention des risques miniers et Autres études;PPRM et autres études
SSA;BG;181-11-04;;;Travaux de sécurité dans les mines, indemnisation et expropriations sur les sites miniers;Trav-sécu-ind-exp-miniers
ACT;BG;181-12;;;Agence de l'environnement et de la maîtrise de l'énergie (ADEME);ADEME
ACT;BG;181-13;;;Institut national de l'environnement industriel et des risques (INERIS);INERIS
ACT;BG;181-14;;;Fonds de prévention des risques naturels majeurs;FPRNM
SSA;BG;181-14-01;;;Plans d'action portés par les collectivités locales;Plans d'actions CL
SSA;BG;181-14-02;;;Plan séisme Antilles;Plan séisme Antilles
SSA;BG;181-14-03;;;Mesures individuelles réduction vulnérabilité (hors plans d'action);Réduc vulnérabilité indiv
SSA;BG;181-14-04;;;Connaissance et évaluation des RN (hors plans d'action);Connaissance et éval RN
SSA;BG;181-14-05;;;Mise en conformité des digues domaniales;Mise en conformité DD
PGM;BG;203;TA;23;Infrastructures et services de transports;Infras&servTransport
ACT;BG;203-01;;;Routes - Développement;routes - développement
ACT;BG;203-04;;;Routes - Entretien;Routes - Entretien
SSA;BG;203-04-01;;;Régénération du réseau routier national;Régénération routière
SSA;BG;203-04-02;;;Entretien réseau routier national;Entretien routier
ACT;BG;203-41;;;Ferroviaire;Ferroviaire
SSA;BG;203-41-01;;;Infrastructures ferroviaires;Infra. ferroviaires
SSA;BG;203-41-02;;;Subvention SNCF réseau (TER);Sub. SNCF Réseau (TER)
SSA;BG;203-41-03;;;Subvention SNCF réseau (TET);Sub. SNCF réseau (TET)
SSA;BG;203-41-04;;;Subvention SNCF réseau (fret);Sub. SNCF Réseau (fret)
SSA;BG;203-41-05;;;Compensation fret;Compensation fret
SSA;BG;203-41-06;;;Régénération ferroviaire;Régénération ferroviaire
SSA;BG;203-41-07;;;Services ferroviaires;Services ferroviaires
ACT;BG;203-42;;;Voies navigables;Voies navigables
SSA;BG;203-42-01;;;Infrastructures fluviales;Infrastructures fluviales
SSA;BG;203-42-02;;;Subvention Voies navigables de France (VNF);Subvention VNF
ACT;BG;203-43;;;Ports;Ports
SSA;BG;203-43-01;;;Infrastructures portuaires;Infra. portuaires
SSA;BG;203-43-02;;;Entretien des ports;Entretien des ports
SSA;BG;203-43-03;;;Soutien et contrôle du transport fluvial et maritime;Sout Ctrl transp fluv mar
SSA;BG;203-43-04;;;Dispositifs de prise en compte de la pénibilité des métiers portuaires;Ports pénibilité
ACT;BG;203-44;;;Transports collectifs;Transports collectifs
SSA;BG;203-44-01;;;Infrastructures transport collectif;Infra. transport coll.
SSA;BG;203-44-02;;;Politique de déplacements;Politique de déplacements
SSA;BG;203-44-03;;;Transports collectifs : tarifs sociaux;Tarifs sociaux
SSA;BG;203-44-04;;;Compensation ex-loi SRU LGV;Loi SRU LGV
SSA;BG;203-44-05;;;Infrastructures Vélo (Fonds de mobilités actives);Infrastructures Vélo
SSA;BG;203-44-06;;;Financement trains d'équilibre du territoire (TET);Financement TET (ex CAS)
ACT;BG;203-45;;;Transports combinés;Transports combinés
SSA;BG;203-45-01;;;Infrastructure transport combiné;Infra. transports combiné
SSA;BG;203-45-02;;;Aides aux transports combinés;Transports combinés
SSA;BG;203-45-03;;;Autoroutes ferroviaires;Autoroutes ferroviaires
SSA;BG;203-45-04;;;Autoroute de la mer;Autoroute de la mer
ACT;BG;203-47;;;Fonctions support;Fonctions support
SSA;BG;203-47-01;;;Etudes générales;Etudes générales
SSA;BG;203-47-02;;;Fonctionnement des services;Fonct. des services
SSA;BG;203-47-03;;;Systèmes d'information;Systèmes d'information
SSA;BG;203-47-04;;;Subventions ART et EPSF;Subv ART et EPSF
ACT;BG;203-50;;;Transport routier;Transport routier
SSA;BG;203-50-01;;;Aires de contrôle routier;Aires de contrôle routier
SSA;BG;203-50-02;;;Soutien au transport routier;Soutien transport routier
SSA;BG;203-50-03;;;Contrôle du transport routier;Contrôle transp. routier
ACT;BG;203-51;;;Sécurité ferroviaire;Sécurité ferroviaire
SSA;BG;203-51-01;;;Infrastructures sécurité ferroviaire;infrastructur sécu ferrov
SSA;BG;203-51-02;;;Moyens d'exploitation Sécurité ferroviaire;moy. exploit sécu ferrov
ACT;BG;203-52;;;Transport aérien;Transport aérien
SSA;BG;203-52-01;;;Infrastructures aéroportuaires;Infra. aéroportuaires
SSA;BG;203-52-02;;;Transport aérien : lignes d'aménagement du territoire;Tranport aérien (L.A.T.)
SSA;BG;203-52-03;;;Fonds de compensation Nantes Atlantique;Fonds de compensation NA
ACT;BG;203-53;;;Dotation exceptionnelle à l'AFITF;Dot Excep AFITF
PGM;BG;205;TA;28;Affaires maritimes;Affaires maritimes
ACT;BG;205-01;;;Sécurité et sûreté maritimes;Sécurité-sûreté maritime
SSA;BG;205-01-01;;;Surveillance du trafic maritime;CROSS
SSA;BG;205-01-02;;;Contrôle  des navires;Contrôle  des navires
SSA;BG;205-01-03;;;Signalisation maritime;Signalisation maritime
SSA;BG;205-01-04;;;Subvention à la société nationale de sauvetage en mer;SNSM
SSA;BG;205-01-05;;;Bureau enquête accidents mer;BEA-Mer
ACT;BG;205-02;;;Gens de mer et enseignement maritime;Gens de mer
SSA;BG;205-02-01;;;Financement contractualisé des structures de l'enseignement maritime secondaire (CPER);Financement LPM CPER
SSA;BG;205-02-02;;;Financement non contractualisé des structures de l'enseignement maritime secondaire (hors CPER);"Financement LPM HCPER
"
SSA;BG;205-02-03;;;Aides aux élèves de l'enseignement maritime secondaire;Bourses LPM
SSA;BG;205-02-04;;;Financement contractualisé des structures de l'enseignement maritime supérieur (CPER);"Investissement ENSM CPER
"
SSA;BG;205-02-05;;;Financement non contactualisé des structures de l'enseignement maritime supérieur (hors CPER);"SCSP ENSM HCPER
"
SSA;BG;205-02-07;;;Formation continue et promotion sociale des marins;"Formation continue marin
"
SSA;BG;205-02-08;;;Protection sanitaire et sociale du marin;Protect sanit-soc marins
SSA;BG;205-02-09;;;Aides aux marins;Aides aux marins
SSA;BG;205-02-10;;;Domaine maritime (subventions);Subventions maritimes
ACT;BG;205-03;;;Flotte de commerce;Flotte de commerce
SSA;BG;205-03-01;;;Groupe maritime d'économie mixte (subvention à un régime particulier de retraite);CGMF
SSA;BG;205-03-03;;;Entreprises d'armement : contributions aux charges sociales;Soutien flotte commerce
SSA;BG;205-03-05;;;Soutien aux armateurs ferries;Soutien flotte ferries
ACT;BG;205-04;;;Action interministérielle de la mer;AIML
SSA;BG;205-04-01;;;Dispositif de contrôle et de surveillance;DCS
SSA;BG;205-04-02;;;Plaisance;Plaisance
SSA;BG;205-04-03;;;Polmar terre;Polmar terre
SSA;BG;205-04-04;;;Environnement et cultures marines;PCME
SSA;BG;205-04-05;;;Elaboration et mise en oeuvre de la stratégie nationale mer et littoral;Elaboration et mise en oe
ACT;BG;205-05;;;Soutien au programme;Soutien au programme
SSA;BG;205-05-02;;;Systèmes d'information;Systèmes d'information
SSA;BG;205-05-03;;;"Dépenses communes au programme ""sécurité et affaires maritimes""";Dépenses communes
PGM;BG;217;TA;23;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;Pilot.ÉcologieDevMob
ACT;BG;217-07;;;Pilotage, support, audit et évaluations;Pilotage, support, audit
SSA;BG;217-07-01;;;Fonction juridique;Fonction juridique
SSA;BG;217-07-02;;;Fonctionnement de l'administration centrale et des services rattachés;Fct de l'AC et serv.ratt
SSA;BG;217-07-03;;;Immobilier de l'administration centrale et des services rattachés;Immo. AC et serv.ratt
SSA;BG;217-07-04;;;Services numériques-Fonctionnement des infrastructures et évolution des systèmes d'information;SNUM-Fct infra-évolu.SI
SSA;BG;217-07-05;;;Moyens HT2 consacrés aux ressources humaines;Moyens HT2 RH
SSA;BG;217-07-06;;;Actions nationales et internationales en faveur du développement durable;Act.nat. et intern.DD
SSA;BG;217-07-07;;;Fonctionnement courant du CGEDD;Fct courant CGEDD
SSA;BG;217-07-08;;;Moyens consacrés à l'ENTPE et à l'ENPC;Moyens ENPC et ENTPE
ACT;BG;217-08;;;Personnels œuvrant pour les politiques de transport;Personnels IST P203
SSA;BG;217-08-01;;;Personnels hors compte de commerce;Pers hors compte commerce
SSA;BG;217-08-02;;;Personnels à la charge du compte de commerce;Pers compte commerce
ACT;BG;217-09;;;"Personnels oeuvrant pour les politiques du programme ""Sécurité et éducation routières""";Personnels SER P207
ACT;BG;217-11;;;"Personnels oeuvrant pour les politiques du programme ""Affaires maritimes""";Personnels AM P205
ACT;BG;217-13;;;Personnels œuvrant pour la politique de l'eau et de la biodiversité;Personnels PEB P113
ACT;BG;217-15;;;Personnels œuvrant pour les politiques du programme Urbanisme, territoires et aménagement de l'habitat;Personnels MCT
ACT;BG;217-16;;;Personnels œuvrant pour la politique de la prévention des risques;Personnels prév risq P181
ACT;BG;217-18;;;Personnels relevant de programmes d'autres ministères;Personnels autres minist
SSA;BG;217-18-01;;;"Personnels relevant du programme ""Patrimoines""";Pers Patrimoines P175
SSA;BG;217-18-02;;;"Personnels relevant du programme ""Soutien aux politiques du ministère de la culture""";Pers Po Culture P224
SSA;BG;217-18-03;;;"Personnels relevant du programme ""Conduite et soutien des politiques sanitaires et sociales""";Pers sanitair social P124
SSA;BG;217-18-04;;;"Personnels relevant du programme ""Développement des entreprises et de l'emploi""";Pers Dév entr emploi P134
SSA;BG;217-18-05;;;"Personnels relevant du programme ""Conduite et pilotage des politiques de l'agriculture""";Pers CPPAgriculture P215
SSA;BG;217-18-06;;;Personnels relevant de programmes de divers autres ministères;Pers Progr autres minist
SSA;BG;217-18-07;;;Personnel relevant du ministère de la défense - Bases aériennes;Pers Défense bases aérien
ACT;BG;217-22;;;Personnels transférés aux collectivités territoriales;Pers transférés aux CT
SSA;BG;217-22-01;;;Personnels transférés aux collectivités locales hors ouvriers des parcs et ateliers;Pers transfér CT hors OPA
SSA;BG;217-22-02;;;Ouvriers des parcs et ateliers transférés mis à disposition des collectivités territoriales;OPA transférés MAD des CT
ACT;BG;217-23;;;Personnels œuvrant pour les politiques de l'énergie et du climat;Pers énergie climat P174
ACT;BG;217-25;;;Commission nationale du débat public;CNDP
ACT;BG;217-26;;;Autorité de contrôle des nuisances aéroportuaires (ACNUSA);ACNUSA
ACT;BG;217-27;;;Commission de régulation de l'énergie (CRE);Régulation énergie (CRE)
ACT;BG;217-28;;;Personnels œuvrant dans le domaine de la stratégie et de la connaissance des politiques de transition écologique;Personnels DDEIGM
ACT;BG;217-98;;;Dépenses de personnel de l'administration centrale à reventiler entre les actions miroirs des programmes de politiques sectorielles;Dépenses de personnel de 
ACT;BG;217-99;;;Dépenses de personnel en services déconcentrés à reventiler entre les actions miroirs des programmes de politiques sectorielles;Dépenses de personnel en 
PGM;BG;345;TA;23;Service public de l'énergie;ServicePubEnergie
ACT;BG;345-09;;;Soutien aux énergies renouvelables électriques en métropole continentale;Soutien ENR Métropole
SSA;BG;345-09-01;;;Eolien terrestre;Eolien terrestre
SSA;BG;345-09-02;;;Eolien en mer;Eolien en mer
SSA;BG;345-09-03;;;Solaire photovoltaïque;Solaire photovoltaïque
SSA;BG;345-09-04;;;Bio-énergies;Bio-énergies
SSA;BG;345-09-05;;;Autres énergies;Autres énergies
ACT;BG;345-10;;;Soutien à l'injection de biométhane;Soutien biométhane
SSA;BG;345-10-01;;;Soutien à l'injection de biométhane;Sout.inject.biométhane
ACT;BG;345-11;;;Soutien dans les zones non interconnectées au réseau métropolitain;Soutien ZNI
SSA;BG;345-11-01;;;Soutien à la transition énergétique dans les ZNI;Soutien TE ZNI
SSA;BG;345-11-02;;;Mécanismes de solidarité avec les ZNI;Solidarité ZNI
ACT;BG;345-12;;;Soutien à la cogénération au gaz naturel et autres moyens thermiques;Soutien cogénération ...
SSA;BG;345-12-01;;;Soutien à la cogénération au gaz naturel et autres moyens thermiques;Soutien cogénération ...
ACT;BG;345-13;;;Soutien aux effacements de consommation;soutien effacements
SSA;BG;345-13-01;;;Soutien aux effacements;Soutien effacements
ACT;BG;345-14;;;Dispositions sociales pour les consommateurs en situation de précarité énergétique;Dispositfs sociaux
SSA;BG;345-14-01;;;Compensation des versements au fond de solidarité logement;compensation FSL
SSA;BG;345-14-02;;;Dispositif d'affichage déporté de la consommation d'énergie;Affichage déporté
SSA;BG;345-14-03;;;Autres dispositifs de lutte contre la précarité énergétique;Autres dispositifs
ACT;BG;345-15;;;Frais divers;Frais divers
SSA;BG;345-15-01;;;Frais financiers et de gestion des contrats;frais fi et gest contrat
SSA;BG;345-15-02;;;Frais d'intermédiation;Frais d'intermédiation
SSA;BG;345-15-03;;;Compléments de prix liés à l'accès régulé à l'électricité nucléaire historique;Compléments de prix ARENH
PGM;BG;355;TA;07;Charge de la dette de SNCF Réseau reprise par l'État (crédits évaluatifs);Reprise dette SNCF
ACT;BG;355-01;;;Charge de la dette de SNCF Réseau reprise par l'État;Charge Dette SNCF Réseau
MSN;BG;DB; ;;;Économie
PGM;BG;134;DB;07;Développement des entreprises et régulations;DévEntreprises&Régulation
ACT;BG;134-04;;;Développement des postes, des télécommunications et du numérique;Développement des postes,
ACT;BG;134-07;;;Développement international des entreprises et attractivité du territoire;Exportations/attractivité
ACT;BG;134-08;;;Expertise, conseil et inspection;Expertise, conseil et ins
SSA;BG;134-08-01;;;Conseil général de l'industrie, de l'énergie et des technologies (CGIET);Conseil général de l'indu
ACT;BG;134-13;;;Régulation des communications électroniques et des postes (ARCEP);Régulation des communicat
ACT;BG;134-15;;;Mise en oeuvre du droit de la concurrence (Autorité de la concurrence);Mise en oeuvre du droit d
ACT;BG;134-22;;;Contrats à impact social;Contrats à impact social
ACT;BG;134-23;;;Industrie et services;Industrie et services
ACT;BG;134-24;;;Régulation concurrentielle des marchés, protection économique et sécurité du consommateur;Régulation concurrentiell
ACT;BG;134-25;;;Mesures exceptionnelles dans le cadre de la crise sanitaire;Mes except crise san
ACT;BG;134-99;;;"Dépenses de personnel à reventiler du programme ""Développement des entreprises et de l'emploi""";Dépenses de personnel à r
PGM;BG;220;DB;07;Statistiques et études économiques;Stat.ÉtudesÉconomiques
ACT;BG;220-01;;;Infrastructures statistiques et missions régaliennes;Infr. stat. miss. régal.
ACT;BG;220-06;;;Action régionale;Action régionale
ACT;BG;220-08;;;Information économique, démographique et sociale;Inf. éco., démo. et soc.
ACT;BG;220-09;;;Pilotage, soutien et formation initiale;Pilot., sout. et form.ini
ACT;BG;220-99;;;Dépenses de personnel du programme à reventiler;Dépenses de personnel du 
PGM;BG;305;DB;07;Stratégies économiques;Stratégies économiques
ACT;BG;305-01;;;Définition et mise en oeuvre de la politique économique et financière de la France dans le cadre national, international et européen;Définition et mise en oeu
ACT;BG;305-02;;;Développement international de l'économie française;Développement internation
ACT;BG;305-04;;;Économie sociale, solidaire et responsable;ESSR
SSA;BG;305-04-01;;;Développement de l'ESS et soutien à l'IIS;Dévpt ESS&ISS
SSA;BG;305-04-02;;;Dispositif local d'accompagnement (DLA);DLA
PGM;BG;343;DB;07;Plan France Très haut débit;Très haut débit
ACT;BG;343-01;;;Réseaux d'initiative publique;Réseaux iniative publique
MSN;BG;EB; ;;;EngmtsFinancÉtat
PGM;BG;114;EB;07;Appels en garantie de l'État (crédits évaluatifs);AppelsGarÉtat(CrEvals)
ACT;BG;114-01;;;Agriculture et environnement;Agriculture et environnem
ACT;BG;114-02;;;Soutien au domaine social, logement, santé;Soutien au domaine social
ACT;BG;114-03;;;Financement des entreprises et industrie;Financement des entrepris
ACT;BG;114-04;;;Développement international de l'économie française;Développement internation
SSA;BG;114-04-01;;;Assurance-crédit;Assurance-crédit
