;;;Dépense fiscale;;
Catégorie;Sous catégorie;Sous sous catégorie;Numéro;Libellé législatif;Information complémentaire
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110257;Réduction d'impôt sur le revenu au titre des dépenses réalisées sur certains espaces naturels en vue du maintien et de la protection du patrimoine naturel;Finalité : Favoriser la protection des espaces naturels
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110258;Réduction d'impôt sur le revenu en faveur des investissements locatifs réalisés outre-mer jusqu'au 31 décembre 2012 ou, sous conditions, jusqu'au 31 mars 2013 : dispositif SCELLIER OUTRE-MER;Finalité : Augmenter l'offre de logements locatifs
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110259;Réduction d'impôt sur le revenu en faveur des investissements locatifs réalisés outre-mer dans le secteur intermédiaire jusqu'au 31 décembre 2012 ou, sous conditions, jusqu'au 31 mars 2013 : dispositif SCELLIER INTERMEDIAIRE OUTRE-MER;Finalité : Augmenter l'offre de logements locatifs
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110260;Réduction d’impôt au titre de la souscription de parts de fonds d’investissement de proximité investis dans des sociétés qui exercent leurs activités dans les départements et collectivités d’outre-mer (FIPOM);Finalité : Aider certains espaces géographiques (Outre-mer)
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110261;Réductions d'impôt sur le revenu en faveur de l'investissement locatif intermédiaire (dispositifs Duflot et Pinel);Finalité : Augmenter l'offre de logements locatifs
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110262;Crédit d'impôt sur le revenu pour travaux forestiers et rémunérations versées pour la réalisation de contrats de gestion de bois et forêts jusqu'au 31 décembre 2020;Finalité : Aider le secteur sylvicole
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110263;Réduction d'impôt accordée au titre des souscriptions en numéraire au capital d'entreprises de presse;Finalité : Aider le secteur de la presse
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110264;Réduction d’impôt sur le revenu au titre des travaux de réhabilitation effectués dans une résidence de tourisme classée;Finalité : Aider le secteur touristique
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110265;Réduction d'impôt en faveur de l'investissement locatif intermédiaire rénové (Dispositif Denormandie);Finalité : Augmenter l'offre de logements locatifs
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110266;Réduction d'impôt accordée au titre des souscriptions en numéraire au capital initial ou aux augmentations de capital d'une société foncière solidaire;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110267;Crédit d'impôt sur le revenu au titre du premier abonnement à un journal, à une publication périodique ou à un service de presse en ligne d'information politique et générale;Finalité : Aider le secteur de la presse
